Attached kprobe to mutex_lock and kretprobe to mutex_unlock
Attached kprobe to _raw_write_lock and kretprobe to _raw_write_unlock
Attached kprobe to _raw_read_lock and kretprobe to _raw_read_unlock
Tracing  locks for 30 seconds
TIME(s)            COMM             PID    LOCKTIME
1.633094709        b'ftdc'          335100 335080 18388517938844771920 1.633272     2807058.000000  176968
1.633089934        b'ftdc'          335100 335080 18388517939027213856 1.633278     293585.000000   188089
1.633294287        b'ftdc'          335100 335080 18388517938844771920 1.633296     2809134.000000  2076  
1.633290308        b'ftdc'          335100 335080 18388517939027213856 1.633302     304986.000000   11401 
1.633381752        b'ftdc'          335100 335080 18388517938844771920 1.633412     2839639.000000  30505 
1.633377561        b'ftdc'          335100 335080 18388517939027209248 1.633418     211425.000000   40850 
1.633429766        b'ftdc'          335100 335080 18388517938844771920 1.633432     2841599.000000  1960  
1.633425981        b'ftdc'          335100 335080 18388517939027209248 1.633437     222211.000000   10786 
1.633566415        b'ftdc'          335100 335080 18388517938844771920 1.633688     2963223.000000  121624
1.633562075        b'ftdc'          335100 335080 18388517939027207200 1.633694     599620.000000   131988
1.633705669        b'ftdc'          335100 335080 18388517938844771920 1.633708     2965413.000000  2190  
1.633701768        b'ftdc'          335100 335080 18388517939027207200 1.633713     611050.000000   11430 
1.633853573        b'ftdc'          335100 335080 18388517938844771920 1.633927     3039027.000000  73614 
1.633849487        b'ftdc'          335100 335080 18388517939027207456 1.633933     347093.000000   83485 
1.633944442        b'ftdc'          335100 335080 18388517938844771920 1.633947     3041212.000000  2185  
1.633940607        b'ftdc'          335100 335080 18388517939027207456 1.633952     358197.000000   11104 
1.634029901        b'ftdc'          335100 335080 18388517938844771920 1.634201     3212445.000000  171233
1.634025596        b'ftdc'          335100 335080 18388517939027207712 1.634207     481758.000000   181628
1.634218853        b'ftdc'          335100 335080 18388517938844771920 1.634226     3219515.000000  7070  
1.634214869        b'ftdc'          335100 335080 18388517939027207712 1.634231     498162.000000   16404 
1.634298627        b'ftdc'          335100 335080 18388517938844771920 1.634517     3438149.000000  218634
1.634294388        b'ftdc'          335100 335080 18388517939027214112 1.634523     469166.000000   228593
1.634534916        b'ftdc'          335100 335080 18388517938844771920 1.634583     3486432.000000  48283 
1.634531016        b'ftdc'          335100 335080 18388517939027214112 1.634588     526644.000000   57478 
